"baker","signature","technical.rank","showstopper","episode","signatuare.name","technical.name","showstopper.name","season"
"Holly","Strawberry and Custard Melts","3rd","'Chocolate bars of my youth'(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)",4,"12 Biscuits ","24 Brandy Snaps ","Macarons ","2"
"Janet","Christmas Marzipan Biscuits","4th","Raspberry MacaronsBlackcurrant MacaronsAlmond Macarons",4,"12 Biscuits ","24 Brandy Snaps ","Macarons ","2"
"Jason","Lebkuchen","1st","Mocktail Macarons(Mojito, Cranberry Cooler, and Pina Colada)",4,"12 Biscuits ","24 Brandy Snaps ","Macarons ","2"
"Jo","Lavender Biscuits","8th","Blueberry MacaronsCoconut MacaronsStrawberry Macarons",4,"12 Biscuits ","24 Brandy Snaps ","Macarons ","2"
"Mary-Anne","Melting Moments","2nd","Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons",4,"12 Biscuits ","24 Brandy Snaps ","Macarons ","2"
"Robert","Chocolate and Ginger Oat Biscuits","7th","Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons",4,"12 Biscuits ","24 Brandy Snaps ","Macarons ","2"
"Yasmin","Chocolate Chip and Pistachio Biscotti","6th","Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons",4,"12 Biscuits ","24 Brandy Snaps ","Macarons ","2"
"Holly","Stilton, Potato and Caramelised Onion Pie","4th","Lime Meringue Pie",5,"Family Pie ","6 Miniature Pork Pie ","Meringue Pie ","2"
"Janet","Chicken and Chestnut Pie","1st","Rhubarb Meringue Pie",5,"Family Pie ","6 Miniature Pork Pie ","Meringue Pie ","2"
"Jason","Brown Down Chicken Pie","7th","Plum Meringue Pie",5,"Family Pie ","6 Miniature Pork Pie ","Meringue Pie ","2"
"Jo","Salmon and Asparagus Pie","6th","Apple and Raspberry Meringue Pie",5,"Family Pie ","6 Miniature Pork Pie ","Meringue Pie ","2"
"Mary-Anne","Chicken and Bacon Pie","2nd","Midnight Meringue Pie",5,"Family Pie ","6 Miniature Pork Pie ","Meringue Pie ","2"
"Robert","Chicken and Mushroom Pie","3rd","Rhubarb & Custard Meringue Pie",5,"Family Pie ","6 Miniature Pork Pie ","Meringue Pie ","2"
"Yasmin","Family Fish Pie","5th","Peach and Raspberry Meringue Pie",5,"Family Pie ","6 Miniature Pork Pie ","Meringue Pie ","2"
"Holly","Father Christmas' Baked Cheesecake","3rd","Hansel and Gretel's Croquembouche",6,"Baked Cheesecake ","Chocolate Roulade ","Croquembouche ","2"
"Janet","Rhubarb and Ginger Baked Cheesecake","5th","Orange and Nougatine Croquembouche",6,"Baked Cheesecake ","Chocolate Roulade ","Croquembouche ","2"
"Jo","Rum and Raisin Baked Cheesecake","1st","Limoncello and White Chocolate Croquembouche",6,"Baked Cheesecake ","Chocolate Roulade ","Croquembouche ","2"
"Mary-Anne","Tutti Fruitti Curd Baked Cheesecake","4th","Orange and Praline Croquembouche with Cardamom Caramel",6,"Baked Cheesecake ","Chocolate Roulade ","Croquembouche ","2"
"Yasmin","Baked Amaretto Cheesecake","2nd","Rose Croquembouche",6,"Baked Cheesecake ","Chocolate Roulade ","Croquembouche ","2"
"Holly","White Chocolate, Hazelnut and Raspberry Génoise Mousse Cake","1st","Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits",7,"Layered Mousse Cake ","12 Iced Fingers ","3 Different Types of Pastries or Croissants ","2"
"Janet","Chocolate Amaretto Mousse Cake","4th","Pain Aux RaisinPlain CroissantPain Au Chocolat",7,"Layered Mousse Cake ","12 Iced Fingers ","3 Different Types of Pastries or Croissants ","2"
"Jo","Raspberry & Strawberry Mousse Cake","3rd","Pain Aux RaisinChocolate TwistsBanana and Raisin Pastries",7,"Layered Mousse Cake ","12 Iced Fingers ","3 Different Types of Pastries or Croissants ","2"
"Mary-Anne","Chocolate and Orange Mousse Cake","2nd","Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes",7,"Layered Mousse Cake ","12 Iced Fingers ","3 Different Types of Pastries or Croissants ","2"
"Holly","Banoffee Inspired Mille Feuille","2nd","Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich",8,"12 Mille Feuille ","Sachertorte ","Petits Fours ","2"
"Jo","Raspberry and Blueberry Mille Feuille","1st","Mini Victoria SandwichesRaspberry, White Chocolate and Pistachio Mini MeringuesMini Banoffee Pie with Banana Mousse",8,"12 Mille Feuille ","Sachertorte ","Petits Fours ","2"
"Mary-Anne","Lemon and Ginger Mille Feuille","3rd","Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub",8,"12 Mille Feuille ","Sachertorte ","Petits Fours ","2"
"Brendan","Plum, Sour Cherry & Walnut Upside Down Cake","10th","St. Patrick's Day Cake with Hidden Irish Flag[12]",1,"Upside Down Cake ","4 Rum Babas ","Hidden Design Cake ","3"
"Cathryn","Apple, Hazelnut and Calvados Upside Down Cake","5th","Hidden Cupcake Cake",1,"Upside Down Cake ","4 Rum Babas ","Hidden Design Cake ","3"
"Danny","Plum, Ginger & Orange Upside Down Cake","7th","Nectar Cake with Hidden Beehive[13]",1,"Upside Down Cake ","4 Rum Babas ","Hidden Design Cake ","3"
"James","Parsnip, Pear, and Pecan Upside Down Cake","2nd","""Simmer Dim"" Sunset Cake",1,"Upside Down Cake ","4 Rum Babas ","Hidden Design Cake ","3"
"John","Toffee Apple, Orange & Cranberry Upside Down Cake","11th","Hidden Pink Hearts Cake",1,"Upside Down Cake ","4 Rum Babas ","Hidden Design Cake ","3"
"Manisha","Vanilla, Peach and Raspberry Upside Down Cake","6th","White Chocolate Cake with a Red Velvet and White Chocolate Mousse Heart",1,"Upside Down Cake ","4 Rum Babas ","Hidden Design Cake ","3"
"Natasha","Pineapple & Passion Fruit Upside Down Cake","12th","Mother's Day Layered Rose Cake",1,"Upside Down Cake ","4 Rum Babas ","Hidden Design Cake ","3"
"Peter","Pear, Muscat & Chocolate Upside Down Cake","3rd","Jubilee Cake",1,"Upside Down Cake ","4 Rum Babas ","Hidden Design Cake ","3"
"Ryan","Kumquat and Orange Polenta Upside Down Cake","8th","Hidden Flowerbed Mousse Cake",1,"Upside Down Cake ","4 Rum Babas ","Hidden Design Cake ","3"
"Sarah-Jane","Pear, Chocolate and Hazelnut Upside Down Cake","1st","Hidden Crown Cake",1,"Upside Down Cake ","4 Rum Babas ","Hidden Design Cake ","3"
"Stuart","Tomato and Ginger Upside Down Cake","9th","Lemon and Pistachio Union Flag Cake",1,"Upside Down Cake ","4 Rum Babas ","Hidden Design Cake ","3"
"Victoria","Pear and Pecan Upside Down Cake","4th","Blackbird Pie Cake",1,"Upside Down Cake ","4 Rum Babas ","Hidden Design Cake ","3"
"Brendan","Middle Eastern Taboon BreadIndian Roti","4th","Chocolate and Vanilla Bagels; Cumin and Gruyere Bagels",2,"2 Flatbreads  6 Leavened and 6 Unleavened ","Eight Stranded Plaited Loaf ","4 Bagels  12 Sweet and 12 Savoury ","3"
"Cathryn","Spiced Mango NaanLime, Coriander and Chilli Tortillas","8th","Cranberry and Orange Bagels; Chipotle, Chilli, and Smoked Cheddar Bagels",2,"2 Flatbreads  6 Leavened and 6 Unleavened ","Eight Stranded Plaited Loaf ","4 Bagels  12 Sweet and 12 Savoury ","3"
"Danny","Lime Coriander and Coconut TortillasZaatar Naan with Dukkah","3rd","",2,"2 Flatbreads  6 Leavened and 6 Unleavened ","Eight Stranded Plaited Loaf ","4 Bagels  12 Sweet and 12 Savoury ","3"
"James","Tomato, Garlic, and Parmesan FlatbreadsTattie Scones","2nd","Orange, Mint and Chocolate Bagels; 'Millers' Sourdough Bagels",2,"2 Flatbreads  6 Leavened and 6 Unleavened ","Eight Stranded Plaited Loaf ","4 Bagels  12 Sweet and 12 Savoury ","3"
"John","Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas","1st","Fig, Walnut and Gruyere Bagels;   Blueberry and White Chocolate Bagels",2,"2 Flatbreads  6 Leavened and 6 Unleavened ","Eight Stranded Plaited Loaf ","4 Bagels  12 Sweet and 12 Savoury ","3"
"Manisha","Indian FlatbreadsItalian Flatbreads","6th","Chocolate Orange Bagels",2,"2 Flatbreads  6 Leavened and 6 Unleavened ","Eight Stranded Plaited Loaf ","4 Bagels  12 Sweet and 12 Savoury ","3"
"Peter","Fennel and Nigella Seed NaanBannock Bread","11th","Rosemary and Sea Salt Bagels; Apple and Cinnamon Bagels",2,"2 Flatbreads  6 Leavened and 6 Unleavened ","Eight Stranded Plaited Loaf ","4 Bagels  12 Sweet and 12 Savoury ","3"
"Ryan","Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan","5th","Cinnamon and Date Bagels; Tarragon and Rosemary Bagels",2,"2 Flatbreads  6 Leavened and 6 Unleavened ","Eight Stranded Plaited Loaf ","4 Bagels  12 Sweet and 12 Savoury ","3"
"Sarah-Jane","Coconut RotiOatcakes","10th","",2,"2 Flatbreads  6 Leavened and 6 Unleavened ","Eight Stranded Plaited Loaf ","4 Bagels  12 Sweet and 12 Savoury ","3"
"Stuart","Bombay BreadChorizo and Spring Onion Naan","9th","Cinnamon and Cranberry Bagels; Tomato and Thyme Bagels",2,"2 Flatbreads  6 Leavened and 6 Unleavened ","Eight Stranded Plaited Loaf ","4 Bagels  12 Sweet and 12 Savoury ","3"
"Victoria","Coriander and Lemon NaanGarlic and Parsnip Chapatis","7th","Saffron and Golden Raisin Bagels; Porcini Bagels",2,"2 Flatbreads  6 Leavened and 6 Unleavened ","Eight Stranded Plaited Loaf ","4 Bagels  12 Sweet and 12 Savoury ","3"
"Brendan","Apple and Ginger Tarte Tatin","9th","Blackberry, Nectarine and Dragon Fruit Tart",3,"Tarte Tatin ","Treacle Tart ","Designer Fruit Tart ","3"
"Cathryn","Plum, Cherry and Five Spice Tarte Tatin","3rd","Raspberry, Pistachio and Lemon Tart",3,"Tarte Tatin ","Treacle Tart ","Designer Fruit Tart ","3"
"Danny","Savoury Pear and Roquefort Tarte Tatin","2nd","Pineapple, Coconut and Frangipane Tart",3,"Tarte Tatin ","Treacle Tart ","Designer Fruit Tart ","3"
"James","Apple and Lavender Tarte Tatin","1st","Rose, Lychee and Raspberry Fruit Tart",3,"Tarte Tatin ","Treacle Tart ","Designer Fruit Tart ","3"
"John","Apple and Vanilla Tarte Tatin with Walnut Praline","6th","Berries, Grapes, Pomegranate, and Dragon Fruit Tart",3,"Tarte Tatin ","Treacle Tart ","Designer Fruit Tart ","3"
"Manisha","Cinnamon, Apple and Pear Tarte Tatin","10th","Rum and Tropical Fruit Tart",3,"Tarte Tatin ","Treacle Tart ","Designer Fruit Tart ","3"
"Ryan","Spiced Pear Tarte Tatin","5th","UNKNOWN",3,"Tarte Tatin ","Treacle Tart ","Designer Fruit Tart ","3"
"Sarah-Jane","Caramelised Banana Tarte Tatin","8th","French Apple Tart with Blackberry and Cassis Jam",3,"Tarte Tatin ","Treacle Tart ","Designer Fruit Tart ","3"
"Stuart","Pear and Almond Tarte Tatin","7th","Raspberry Triple Chocolate Layered Tart",3,"Tarte Tatin ","Treacle Tart ","Designer Fruit Tart ","3"
"Victoria","Fig, Walnut and Pink Peppercorn Tarte Tatin","4th","Tropical Fruit Tart with Black Pepper Crust",3,"Tarte Tatin ","Treacle Tart ","Designer Fruit Tart ","3"
"Brendan","Clementine and Chestnut Torte","1st","Pear, Chocolate and Hazelnut Dacquoise",4,"Torte Cake ","Crème Caramel ","4 Layered Meringue Dessert ","3"
"Cathryn","White Chocolate, Macadamia and Coffee Torte","3rd","Gooseberry, Almond and Honey Meringue",4,"Torte Cake ","Crème Caramel ","4 Layered Meringue Dessert ","3"
"Danny","Blackberry, White Chocolate, Lemon and Elderflower Torte","2nd","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise",4,"Torte Cake ","Crème Caramel ","4 Layered Meringue Dessert ","3"
"James","Hazelnut, Chocolate and Passionfruit Torte","5th","Fig, Chestnut, Cherry and Chocolate Layered Meringue",4,"Torte Cake ","Crème Caramel ","4 Layered Meringue Dessert ","3"
"John","'Torte Noir' Black Forest Torte with Boozy Cream","6th","Elderflower and Bramble Berry Pavlova",4,"Torte Cake ","Crème Caramel ","4 Layered Meringue Dessert ","3"
"Manisha","Almond, Chocolate and Cherry Torte","9th","Tiramisu Layered Meringue Dessert",4,"Torte Cake ","Crème Caramel ","4 Layered Meringue Dessert ","3"
"Ryan","Green Tea Opera Torte","7th","Strawberry, Rose and Pistachio Meringue",4,"Torte Cake ","Crème Caramel ","4 Layered Meringue Dessert ","3"
"Sarah-Jane","Chocolate and Almond Truffle Torte","4th","Hazelnut Tiramisu Layered Meringue",4,"Torte Cake ","Crème Caramel ","4 Layered Meringue Dessert ","3"
"Stuart","Black Forest Torte","8th","Choca Blocka Mocha Meringue",4,"Torte Cake ","Crème Caramel ","4 Layered Meringue Dessert ","3"
"Brendan","Salmon Coulibiac in a Scandinavian Pastry","3rd","All American Chiffon Pie",5,"Wellington ","Hand Raised Pie ","American Pie ","3"
"Cathryn","Full English Wellington","1st","Chocolate and Peanut Butter Pumpkin Pie",5,"Wellington ","Hand Raised Pie ","American Pie ","3"
"Danny","Chickpea, Spinach & Mushroom Wellington","7th","Trick or Treat Pumpkin Pie",5,"Wellington ","Hand Raised Pie ","American Pie ","3"
"James","Four Pig Wellington","6th","Sweet Potato Pie",5,"Wellington ","Hand Raised Pie ","American Pie ","3"
"John","Venison and Haggis Wellington","2nd","Star Spangled Pecan Pie",5,"Wellington ","Hand Raised Pie ","American Pie ","3"
"Manisha","Lamb Wellington with Rosemary and Mint","5th","Banana Scotch Pie",5,"Wellington ","Hand Raised Pie ","American Pie ","3"
"Ryan","Curry Spiced Seabass Wellington","8th","Key Lime Pie",5,"Wellington ","Hand Raised Pie ","American Pie ","3"
"Sarah-Jane","Beef Wellington with Parma Ham and Gorgonzola Cheese","4th","Chocolate and Banana Cream Pie",5,"Wellington ","Hand Raised Pie ","American Pie ","3"
"Brendan","Rhubarb, Strawberry and Ginger PuddingsSticky Toffee Puddings","1st","Spinach, Cheese and Walnut Strudel",6,"2 Different Flavours of Sponge Puddings ","Queen of Puddings ","Strudels ","3"
"Cathryn","Chocolate Walnut Whip PuddingsElderflower Sponges","3rd","Roasted Vegetable, Couscous and Sheep Cheese Strudel",6,"2 Different Flavours of Sponge Puddings ","Queen of Puddings ","Strudels ","3"
"Danny","Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants","2nd","Leek, Potato, Pistachio and Gruyère Strudel",6,"2 Different Flavours of Sponge Puddings ","Queen of Puddings ","Strudels ","3"
"James","Banana and Clove PuddingsClootie Dumplings","7th","Strawberry, Rhubarb and Ginger Strudel",6,"2 Different Flavours of Sponge Puddings ","Queen of Puddings ","Strudels ","3"
