"","episode","airdate","viewers_millions","7day_viewers","28day_viewers","BBC_iplayer_requests","season"
"96",8,"10 November 2020 (2020-11-10)",NA,10.91,"11.26",NA,"11"
"97",9,"17 November 2020 (2020-11-17)",NA,10.83,"10.98",NA,"11"
"98",10,"24 November 2020 (2020-11-24)",NA,11.74,"11.84",NA,"11"
"99",1,"21 September 2021 (2021-09-21)",NA,9.57,"10.18",NA,"12"
"100",2,"28 September 2021 (2021-09-28)",NA,8.98,"9.64",NA,"12"
"101",3,"5 October 2021 (2021-10-05)",NA,8.69,"9.39",NA,"12"
"102",4,"12 October 2021 (2021-10-12)",NA,8.75,"9.13",NA,"12"
"103",5,"19 October 2021 (2021-10-19)",NA,8.71,"9.27",NA,"12"
"104",6,"26 October 2021 (2021-10-26)",NA,9.15,"9.57",NA,"12"
"105",7,"2 November 2021 (2021-11-02)",NA,9.05,"9.5",NA,"12"
"106",8,"9 November 2021 (2021-11-09)",NA,9.05,"9.49",NA,"12"
"107",9,"16 November 2021 (2021-11-16)",NA,9.39,"9.61",NA,"12"
"108",10,"23 November 2021 (2021-11-23)",NA,9.61,"9.73",NA,"12"
